url,source,source_file,content_type,corresponding_content,confidence,target_strategy,notes
https://puertasyserviciosindustriales.com/1500-revolving-door.php,DIRECT_FILE,1500-revolving-door.php,PRODUCT_PAGE,1500-revolving-door.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado; CONFIRMED prueba evidencia local, no respuesta HTTP"
https://puertasyserviciosindustriales.com/accesorios.php,DIRECT_FILE,accesorios.php,PRODUCT_PAGE,accesorios.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK doorlock.php:56; Otra evidencia: INTERNAL_LINK doorlock.php:61; Otra evidencia: INTERNAL_LINK doorlock.php:65; Otra evidencia: INTERNAL_LINK receptor-para-control-vehiculos.php:91; Otra evidencia: INTERNAL_LINK receptor-para-control-vehiculos.php:96; Otra evidencia: INTERNAL_LINK receptor-para-control-vehiculos.php:100"
https://puertasyserviciosindustriales.com/accesspro-fs1000speed.php,DIRECT_FILE,accesspro-fs1000speed.php,PRODUCT_PAGE,accesspro-fs1000speed.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK operadores-para-puerta-abatible.php:33; Otra evidencia: INTERNAL_LINK operadores-para-puerta-abatible.php:38; Otra evidencia: INTERNAL_LINK operadores-para-puerta-abatible.php:42; Otra evidencia: INTERNAL_LINK operadores-para-puertas-ascendentes.php:33; Otra evidencia: INTERNAL_LINK operadores-para-puertas-ascendentes.php:38; Otra evidencia: INTERNAL_LINK operadores-para-puertas-ascendentes.php:42; Otra evidencia: INTERNAL_LINK operadores-para-puertas-corredizas-residenciales.php:33; Otra evidencia: INTERNAL_LINK operadores-para-puertas-corredizas-residenciales.php:38; Otra evidencia: INTERNAL_LINK operadores-para-puertas-corredizas-residenciales.php:42"
https://puertasyserviciosindustriales.com/automatismos-para-cancelas-cubic.php,DIRECT_FILE,automatismos-para-cancelas-cubic.php,PRODUCT_PAGE,automatismos-para-cancelas-cubic.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado; CONFIRMED prueba evidencia local, no respuesta HTTP"
https://puertasyserviciosindustriales.com/barreras-estacionamiento-moovi50rm.php,DIRECT_FILE,barreras-estacionamiento-moovi50rm.php,PRODUCT_PAGE,barreras-estacionamiento-moovi50rm.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK bft-resp.php:30; Otra evidencia: INTERNAL_LINK bft-resp.php:35; Otra evidencia: INTERNAL_LINK bft-resp.php:39; Otra evidencia: INTERNAL_LINK bft.php:37; Otra evidencia: INTERNAL_LINK bft.php:42; Otra evidencia: INTERNAL_LINK bft.php:46; Otra evidencia: INTERNAL_LINK blue-giant.php:126; Otra evidencia: INTERNAL_LINK blue-giant.php:131; Otra evidencia: INTERNAL_LINK blue-giant.php:135; Otra evidencia: INTERNAL_LINK centros-comerciales.php:323; Otra evidencia: INTERNAL_LINK centros-comerciales.php:328; Otra evidencia: INTERNAL_LINK centros-comerciales.php:332; Otra evidencia: INTERNAL_LINK estacionamientos.php:107; Otra evidencia: INTERNAL_LINK estacionamientos.php:112; Otra evidencia: INTERNAL_LINK estacionamientos.php:116; Otra evidencia: INTERNAL_LINK fraccionamientos-y-condominios.php:107; Otra evidencia: INTERNAL_LINK fraccionamientos-y-condominios.php:112; Otra evidencia: INTERNAL_LINK fraccionamientos-y-condominios.php:116"
https://puertasyserviciosindustriales.com/bft-resp.php,DIRECT_FILE,bft-resp.php,BRAND_PAGE,bft-resp.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado; CONFIRMED prueba evidencia local, no respuesta HTTP"
https://puertasyserviciosindustriales.com/bft.php,DIRECT_FILE,bft.php,BRAND_PAGE,bft.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK iconos-marcas.php:106; Otra evidencia: INTERNAL_LINK index-resp.php:86; Otra evidencia: INTERNAL_LINK links-menu-marcas.php:15; Otra evidencia: INTERNAL_LINK marcas.php:133"
https://puertasyserviciosindustriales.com/bix-al-antena-externa-433-mhz.php,DIRECT_FILE,bix-al-antena-externa-433-mhz.php,PRODUCT_PAGE,bix-al-antena-externa-433-mhz.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; title genérico heredado; CONFIRMED prueba evidencia local, no respuesta HTTP"
https://puertasyserviciosindustriales.com/blindadas.php,DIRECT_FILE,blindadas.php,CATEGORY_PAGE,blindadas.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK index-estatico.php:252"
https://puertasyserviciosindustriales.com/blue-giant.php,DIRECT_FILE,blue-giant.php,BRAND_PAGE,blue-giant.php,CONFIRMED,PRESERVE,"Análisis estático; HTTP e indexación real UNKNOWN; CONFIRMED prueba evidencia local, no respuesta HTTP; Otra evidencia: INTERNAL_LINK iconos-marcas.php:34; Otra evidencia: INTERNAL_LINK links-menu-marcas.php:7; Otra evidencia: INTERNAL_LINK marcas.php:61"
